开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 17:05:00,8.31000000,8.31500000,8.30000000,8.31200000,29896.50000000,1708592759999,248455.39810000,443,9728.30000000,80845.35430000
2024-02-22 17:06:00,8.31300000,8.31300000,8.29600000,8.30300000,6304.90000000,1708592819999,52350.85430000,208,3871.00000000,32140.66130000
2024-02-22 17:07:00,8.30000000,8.30600000,8.27000000,8.27000000,23120.10000000,1708592879999,191633.69070000,390,11267.50000000,93391.39510000
2024-02-22 17:08:00,8.27100000,8.27900000,8.24500000,8.25000000,51102.00000000,1708592939999,422105.06840000,780,33837.00000000,279460.62230000
2024-02-22 17:09:00,8.25100000,8.30100000,8.24100000,8.29800000,36002.20000000,1708592999999,297468.90340000,729,19838.80000000,164085.53970000
2024-02-22 17:10:00,8.29800000,8.29900000,8.26400000,8.27700000,16869.40000000,1708593059999,139668.01190000,414,5437.50000000,45024.68730000
2024-02-22 17:11:00,8.27800000,8.27800000,8.24200000,8.26100000,16597.70000000,1708593119999,137036.39160000,426,8262.30000000,68220.58210000
2024-02-22 17:12:00,8.26000000,8.26000000,8.24700000,8.25400000,15965.50000000,1708593179999,131764.50550000,358,4716.20000000,38925.40430000
2024-02-22 17:13:00,8.25500000,8.26700000,8.24500000,8.26600000,23354.70000000,1708593239999,192843.79380000,464,11813.40000000,97563.86790000
2024-02-22 17:14:00,8.26500000,8.28500000,8.25700000,8.28200000,30088.60000000,1708593299999,248832.43870000,640,10170.40000000,84159.05040000
2024-02-22 17:15:00,8.28100000,8.28100000,8.24900000,8.26400000,14374.90000000,1708593359999,118754.77420000,378,6230.70000000,51482.00010000
2024-02-22 17:16:00,8.26400000,8.27900000,8.25300000,8.27300000,19275.20000000,1708593419999,159357.98690000,524,9321.30000000,77069.46680000
2024-02-22 17:17:00,8.27800000,8.33800000,8.27800000,8.32600000,121576.60000000,1708593479999,1011284.24580000,1420,39286.20000000,326726.94500000
2024-02-22 17:18:00,8.32900000,8.34000000,8.31000000,8.31900000,53071.70000000,1708593539999,441644.99130000,762,13343.50000000,111118.52270000
2024-02-22 17:19:00,8.31900000,8.31900000,8.27800000,8.27900000,38633.60000000,1708593599999,320598.57370000,678,9312.60000000,77228.98240000
2024-02-22 17:20:00,8.28000000,8.29900000,8.25100000,8.26400000,27862.80000000,1708593659999,230451.87790000,538,10896.50000000,90103.84320000
2024-02-22 17:21:00,8.26400000,8.28000000,8.26400000,8.27900000,10358.30000000,1708593719999,85719.96260000,291,5065.50000000,41917.07670000
2024-02-22 17:22:00,8.27600000,8.32000000,8.27600000,8.30700000,17795.40000000,1708593779999,147798.66910000,414,10273.80000000,85299.70870000
2024-02-22 17:23:00,8.30700000,8.31900000,8.28100000,8.28100000,19804.60000000,1708593839999,164448.08920000,462,7457.50000000,61934.46150000
2024-02-22 17:24:00,8.28100000,8.30700000,8.28100000,8.30700000,19903.20000000,1708593899999,165100.70920000,419,11139.80000000,92403.89490000
2024-02-22 17:25:00,8.30700000,8.30900000,8.28700000,8.29800000,14880.40000000,1708593959999,123485.65620000,330,6504.20000000,53982.28570000
2024-02-22 17:26:00,8.29800000,8.30300000,8.28200000,8.29100000,14024.90000000,1708594019999,116327.38670000,343,6965.00000000,57771.68680000
2024-02-22 17:27:00,8.29100000,8.30500000,8.28500000,8.29700000,18736.30000000,1708594079999,155416.11180000,378,9989.60000000,82860.43780000
2024-02-22 17:28:00,8.29700000,8.34700000,8.29600000,8.33900000,42311.90000000,1708594139999,352399.47100000,762,23711.30000000,197441.72810000
2024-02-22 17:29:00,8.33900000,8.38400000,8.28800000,8.35000000,90468.60000000,1708594199999,754433.97780000,1703,51034.20000000,425653.81050000
2024-02-22 17:30:00,8.35000000,8.39000000,8.34400000,8.39000000,28680.60000000,1708594259999,239886.59300000,771,16020.20000000,134036.08070000
2024-02-22 17:31:00,8.38900000,8.38900000,8.34000000,8.35500000,37138.60000000,1708594319999,310328.13590000,910,12737.00000000,106438.91330000
2024-02-22 17:32:00,8.35600000,8.35800000,8.32600000,8.32700000,23879.90000000,1708594379999,199160.05120000,533,11230.20000000,93692.89840000
2024-02-22 17:33:00,8.32900000,8.35000000,8.31000000,8.34200000,21508.50000000,1708594439999,179142.85720000,521,11792.70000000,98253.62280000
2024-02-22 17:34:00,8.34200000,8.34600000,8.32100000,8.33000000,14607.80000000,1708594499999,121737.17560000,377,4271.90000000,35603.62640000
2024-02-22 17:35:00,8.33100000,8.35900000,8.32900000,8.35000000,21745.90000000,1708594559999,181462.31150000,514,12903.30000000,107673.15290000
2024-02-22 17:36:00,8.35000000,8.37800000,8.33400000,8.35100000,62702.50000000,1708594619999,523846.48430000,1244,33656.30000000,281180.95510000
2024-02-22 17:37:00,8.35100000,8.40000000,8.33600000,8.37600000,70246.80000000,1708594679999,588193.25730000,1316,38441.40000000,322087.22540000
2024-02-22 17:38:00,8.37500000,8.39500000,8.34500000,8.38900000,37782.80000000,1708594739999,316332.29500000,786,20996.60000000,175804.48680000
2024-02-22 17:39:00,8.38800000,8.47400000,8.37600000,8.45700000,152852.40000000,1708594799999,1288310.70100000,3234,89463.80000000,753858.70950000
2024-02-22 17:40:00,8.45900000,8.46200000,8.40100000,8.41000000,93008.30000000,1708594859999,784138.06260000,2125,35916.30000000,302921.08110000
2024-02-22 17:41:00,8.41000000,8.42000000,8.39700000,8.39900000,29351.40000000,1708594919999,246761.97390000,653,10608.80000000,89213.90880000
2024-02-22 17:42:00,8.39600000,8.41200000,8.38800000,8.41100000,31253.50000000,1708594979999,262580.56640000,633,14093.20000000,118404.04250000
2024-02-22 17:43:00,8.41100000,8.45700000,8.41100000,8.44700000,56472.70000000,1708595039999,476271.88740000,1256,36222.40000000,305494.02460000
2024-02-22 17:44:00,8.44600000,8.64500000,8.41100000,8.61800000,239250.40000000,1708595099999,2037711.68870000,5823,145235.50000000,1236955.47060000
2024-02-22 17:45:00,8.61800000,8.64800000,8.47100000,8.53400000,201279.70000000,1708595159999,1722632.26940000,6247,107374.40000000,919159.63660000
2024-02-22 17:46:00,8.53400000,8.58600000,8.51200000,8.53900000,84052.10000000,1708595219999,718403.68810000,1903,51246.70000000,438223.51770000
2024-02-22 17:47:00,8.53900000,8.54200000,8.48300000,8.53000000,104926.80000000,1708595279999,893099.57300000,2130,39350.80000000,334964.69610000
2024-02-22 17:48:00,8.52900000,8.54800000,8.51500000,8.52400000,37913.80000000,1708595339999,323381.12260000,1082,22636.50000000,193067.87590000
2024-02-22 17:49:00,8.52400000,8.56800000,8.51600000,8.54400000,40589.70000000,1708595399999,346576.55630000,1072,22948.90000000,195994.83260000
2024-02-22 17:50:00,8.54400000,8.56800000,8.51700000,8.56100000,39741.70000000,1708595459999,339517.40980000,1067,19016.00000000,162497.27690000
2024-02-22 17:51:00,8.56000000,8.63900000,8.54500000,8.60800000,137215.90000000,1708595519999,1178753.09320000,2842,73758.30000000,633668.03910000
2024-02-22 17:52:00,8.61000000,8.66700000,8.61000000,8.65600000,99821.60000000,1708595579999,863010.13190000,3325,55989.40000000,484055.35520000
