开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 17:20:00,51762.44000000,51780.78000000,51756.08000000,51778.57000000,32.79182000,1708593659999,1697518.87298570,783,22.80781000,1180659.52019490
2024-02-22 17:21:00,51778.57000000,51778.74000000,51766.01000000,51766.01000000,6.88820000,1708593719999,356618.54316100,570,2.52265000,130598.50173700
2024-02-22 17:22:00,51766.01000000,51766.02000000,51748.60000000,51748.61000000,22.73969000,1708593779999,1177046.86463920,631,2.71195000,140370.17682020
2024-02-22 17:23:00,51748.60000000,51748.61000000,51732.01000000,51732.01000000,17.47667000,1708593839999,904269.66359070,700,2.62413000,135771.56289520
2024-02-22 17:24:00,51732.02000000,51751.10000000,51732.01000000,51743.46000000,41.03809000,1708593899999,2123361.93821250,762,26.44998000,1368496.82232480
2024-02-22 17:25:00,51743.46000000,51766.01000000,51723.57000000,51756.11000000,36.10479000,1708593959999,1868300.31479770,847,23.21600000,1201396.64211870
2024-02-22 17:26:00,51756.10000000,51756.11000000,51743.47000000,51743.48000000,5.20847000,1708594019999,269521.12358820,498,1.52801000,79065.30708730
2024-02-22 17:27:00,51743.48000000,51749.27000000,51736.44000000,51742.92000000,18.58266000,1708594079999,961515.16515890,850,10.32485000,534226.13482070
2024-02-22 17:28:00,51742.92000000,51750.00000000,51742.33000000,51744.63000000,31.52059000,1708594139999,1631159.36565820,1627,8.25166000,426999.05036160
2024-02-22 17:29:00,51744.63000000,51778.17000000,51711.10000000,51771.01000000,39.62329000,1708594199999,2050384.95955380,2007,17.07991000,883849.30354520
2024-02-22 17:30:00,51771.01000000,51772.42000000,51721.21000000,51722.01000000,26.88301000,1708594259999,1391059.06544830,1911,11.61128000,600794.08773700
2024-02-22 17:31:00,51722.00000000,51730.79000000,51722.00000000,51730.79000000,12.64234000,1708594319999,653947.34353480,447,8.08621000,418272.12049410
2024-02-22 17:32:00,51730.79000000,51730.79000000,51700.00000000,51710.83000000,37.79498000,1708594379999,1954384.18380440,1222,13.41946000,693857.46101750
2024-02-22 17:33:00,51710.83000000,51736.49000000,51710.82000000,51721.10000000,17.34632000,1708594439999,897302.50050990,623,8.36410000,432658.17737970
2024-02-22 17:34:00,51721.11000000,51740.00000000,51721.10000000,51739.99000000,9.39446000,1708594499999,485999.81639110,639,6.27818000,324778.96157520
2024-02-22 17:35:00,51739.99000000,51740.00000000,51716.01000000,51716.01000000,18.58849000,1708594559999,961607.21149440,1195,1.79719000,92974.78539670
2024-02-22 17:36:00,51716.01000000,51718.79000000,51704.13000000,51704.14000000,9.41192000,1708594619999,486690.45711700,898,4.89589000,253159.46070560
2024-02-22 17:37:00,51704.14000000,51720.00000000,51704.13000000,51719.99000000,12.83613000,1708594679999,663804.83703960,469,7.04202000,364159.38834440
2024-02-22 17:38:00,51719.99000000,51720.00000000,51711.48000000,51711.49000000,7.27084000,1708594739999,376038.46963370,567,1.69148000,87481.96005400
2024-02-22 17:39:00,51711.48000000,51724.55000000,51711.48000000,51724.54000000,7.94627000,1708594799999,410957.24462570,723,5.33725000,276028.66569030
2024-02-22 17:40:00,51724.55000000,51878.00000000,51724.54000000,51878.00000000,77.28244000,1708594859999,4002924.67833780,3196,58.58334000,3033765.80782500
2024-02-22 17:41:00,51878.00000000,51878.00000000,51823.28000000,51828.47000000,28.68636000,1708594919999,1487462.57592540,1624,13.32814000,690936.49671560
2024-02-22 17:42:00,51828.47000000,51869.20000000,51815.28000000,51866.58000000,23.06176000,1708594979999,1195648.07396940,1016,9.08695000,471057.14884350
2024-02-22 17:43:00,51866.58000000,51866.59000000,51854.00000000,51854.01000000,15.16228000,1708595039999,786374.52733120,805,6.82626000,354034.85479340
2024-02-22 17:44:00,51854.00000000,51879.57000000,51854.00000000,51878.91000000,21.79949000,1708595099999,1130583.87331570,677,17.85871000,926222.02705250
2024-02-22 17:45:00,51878.90000000,51910.00000000,51878.90000000,51904.00000000,37.41823000,1708595159999,1941885.86205560,2264,25.52506000,1324653.46186900
2024-02-22 17:46:00,51904.00000000,51926.80000000,51884.00000000,51884.01000000,19.63190000,1708595219999,1019050.19267330,1452,8.58777000,445778.10346840
2024-02-22 17:47:00,51884.00000000,51884.01000000,51871.10000000,51881.09000000,25.81581000,1708595279999,1339240.05597700,937,19.55293000,1014351.35513990
2024-02-22 17:48:00,51881.10000000,51926.64000000,51881.09000000,51926.62000000,17.34052000,1708595339999,900121.13496790,1186,10.17206000,527936.18187720
2024-02-22 17:49:00,51926.61000000,52000.00000000,51922.86000000,51963.35000000,68.13331000,1708595399999,3540446.53266270,4014,46.60240000,2421636.62046270
2024-02-22 17:50:00,51963.35000000,51963.36000000,51929.96000000,51954.92000000,68.58630000,1708595459999,3562756.19490980,1660,30.93711000,1606917.67111780
2024-02-22 17:51:00,51954.92000000,51964.12000000,51950.00000000,51964.11000000,17.91538000,1708595519999,930814.74755080,1611,10.29855000,535065.71391010
2024-02-22 17:52:00,51964.12000000,51996.59000000,51955.00000000,51991.47000000,30.92763000,1708595579999,1607380.37495850,908,16.91300000,878983.73271950
2024-02-22 17:53:00,51991.46000000,52014.28000000,51987.13000000,52011.09000000,101.71472000,1708595639999,5289398.46129640,2832,64.72588000,3365773.82900220
2024-02-22 17:54:00,52011.09000000,52034.12000000,51996.11000000,52030.44000000,49.08178000,1708595699999,2552943.98696380,1696,37.90948000,1971741.39117280
2024-02-22 17:55:00,52030.44000000,52030.45000000,51946.00000000,51948.24000000,24.26167000,1708595759999,1261443.26796900,2007,8.81594000,458361.21394520
2024-02-22 17:56:00,51948.24000000,51982.60000000,51946.04000000,51982.59000000,20.14996000,1708595819999,1047036.55714090,1182,13.21828000,686873.61744180
2024-02-22 17:57:00,51982.59000000,52002.01000000,51952.27000000,51954.00000000,24.63802000,1708595879999,1280756.92723110,1085,6.87305000,357242.02886570
2024-02-22 17:58:00,51954.01000000,51954.01000000,51931.10000000,51941.76000000,16.74984000,1708595939999,869998.42733290,1066,8.49483000,441200.46701460
2024-02-22 17:59:00,51941.76000000,51949.01000000,51937.86000000,51945.31000000,18.02934000,1708595999999,936517.55611940,695,10.06112000,522606.75726330
2024-02-22 18:00:00,51945.31000000,51945.32000000,51918.80000000,51927.81000000,39.54714000,1708596059999,2053817.84147720,1088,9.81201000,509548.54312090
2024-02-22 18:01:00,51927.82000000,51927.82000000,51907.00000000,51911.43000000,18.19001000,1708596119999,944304.05299850,1079,11.73839000,609363.50165460
2024-02-22 18:02:00,51911.44000000,51911.44000000,51901.98000000,51901.99000000,14.83669000,1708596179999,770126.76993290,693,5.99550000,311206.92312280
2024-02-22 18:03:00,51901.98000000,51907.58000000,51880.01000000,51880.01000000,14.86080000,1708596239999,771241.57170670,964,7.02546000,364614.71728810
2024-02-22 18:04:00,51880.01000000,51919.92000000,51876.70000000,51916.74000000,17.87009000,1708596299999,927570.45472680,924,11.47662000,595657.72652310
2024-02-22 18:05:00,51916.74000000,51917.98000000,51896.00000000,51903.30000000,22.25916000,1708596359999,1155437.02425490,984,12.46694000,647105.84816440
2024-02-22 18:06:00,51903.31000000,51903.31000000,51877.20000000,51877.21000000,15.47636000,1708596419999,803095.67433030,831,3.01099000,156240.55004210
2024-02-22 18:07:00,51877.20000000,51903.35000000,51877.19000000,51877.20000000,22.00582000,1708596479999,1141846.20910590,1662,14.65792000,760548.04380880
2024-02-22 18:08:00,51877.21000000,51885.38000000,51877.19000000,51877.19000000,9.01822000,1708596539999,467873.32795000,1016,4.91812000,255155.76810510
2024-02-22 18:09:00,51877.19000000,51903.35000000,51875.00000000,51903.35000000,13.13891000,1708596599999,681692.91049650,1338,7.46449000,387291.21703250
2024-02-22 18:10:00,51903.35000000,51903.35000000,51875.00000000,51884.87000000,22.80604000,1708596659999,1183253.18921400,1515,8.93480000,463507.33472370
2024-02-22 18:11:00,51884.87000000,51884.87000000,51869.05000000,51869.05000000,13.35014000,1708596719999,692579.60860230,1321,2.04428000,106058.63644930
2024-02-22 18:12:00,51869.06000000,51882.11000000,51869.05000000,51882.10000000,8.49935000,1708596779999,440907.36599930,974,6.55268000,339927.43951300
2024-02-22 18:13:00,51882.11000000,51882.11000000,51869.06000000,51869.07000000,22.51446000,1708596839999,1168058.15766790,1092,1.36545000,70832.47075120
2024-02-22 18:14:00,51869.07000000,51910.00000000,51869.01000000,51909.99000000,12.76600000,1708596899999,662352.58730370,1190,10.11402000,524726.34109270
2024-02-22 18:15:00,51909.99000000,51915.00000000,51869.01000000,51869.02000000,16.99290000,1708596959999,881810.96599140,1218,7.84680000,407152.20973550
2024-02-22 18:16:00,51869.02000000,51886.74000000,51854.35000000,51886.73000000,19.62104000,1708597019999,1017612.81369020,1215,11.78290000,611101.69204100
2024-02-22 18:17:00,51886.73000000,51890.05000000,51874.01000000,51874.02000000,16.94611000,1708597079999,879180.27120440,840,10.78215000,559374.62671610
2024-02-22 18:18:00,51874.01000000,51891.05000000,51874.01000000,51891.05000000,10.29448000,1708597139999,534108.50584580,1091,9.05659000,469884.05086390
2024-02-22 18:19:00,51891.05000000,51917.00000000,51867.65000000,51867.65000000,25.95438000,1708597199999,1346987.91842610,1197,9.23826000,479432.43629250
2024-02-22 18:20:00,51867.65000000,51883.41000000,51851.27000000,51852.01000000,36.23399000,1708597259999,1879234.60780250,1323,14.52792000,753510.62452960
2024-02-22 18:21:00,51852.01000000,51865.27000000,51835.70000000,51855.70000000,17.03043000,1708597319999,883034.63639930,763,6.67839000,346262.55476250
2024-02-22 18:22:00,51855.70000000,51867.01000000,51852.52000000,51867.00000000,16.97666000,1708597379999,880376.39196570,531,7.73503000,401128.10798790
2024-02-22 18:23:00,51867.01000000,51868.00000000,51867.00000000,51867.99000000,5.18427000,1708597439999,268894.92179510,404,1.40830000,73044.58066910
2024-02-22 18:24:00,51868.00000000,51871.10000000,51867.99000000,51871.10000000,8.60092000,1708597499999,446116.77265900,600,5.57169000,288994.80135230
2024-02-22 18:25:00,51871.10000000,51900.00000000,51871.09000000,51899.99000000,11.46680000,1708597559999,594958.02864100,1000,6.88605000,357302.55428120
2024-02-22 18:26:00,51899.99000000,51900.00000000,51881.10000000,51888.00000000,17.36077000,1708597619999,900794.46680210,734,10.01020000,519362.61102300
2024-02-22 18:27:00,51888.00000000,51903.98000000,51881.48000000,51881.49000000,22.73255000,1708597679999,1179616.05803490,770,6.45392000,334923.16907380
2024-02-22 18:28:00,51881.48000000,51904.00000000,51881.48000000,51892.00000000,28.51007000,1708597739999,1479372.26539500,1295,22.80769000,1183449.07528040
2024-02-22 18:29:00,51892.00000000,51901.10000000,51889.70000000,51889.70000000,7.69446000,1708597799999,399313.43865410,638,1.19282000,61904.91137350
2024-02-22 18:30:00,51889.70000000,51889.71000000,51881.10000000,51881.11000000,12.24093000,1708597859999,635153.73069180,1293,2.26169000,117349.18574800
2024-02-22 18:31:00,51881.11000000,51881.11000000,51880.47000000,51880.47000000,3.79700000,1708597919999,196991.46930920,453,1.39844000,72551.90262290
2024-02-22 18:32:00,51880.48000000,51880.48000000,51850.54000000,51865.99000000,22.72817000,1708597979999,1178707.26357250,1020,7.15610000,371104.37884240
2024-02-22 18:33:00,51865.98000000,51865.99000000,51844.57000000,51844.58000000,7.40727000,1708598039999,384093.90978600,536,2.48984000,129091.80395710
2024-02-22 18:34:00,51844.57000000,51850.00000000,51811.49000000,51849.99000000,10.34356000,1708598099999,536085.53863600,930,5.17951000,268432.31054980
2024-02-22 18:35:00,51850.00000000,51850.00000000,51804.30000000,51804.42000000,13.78570000,1708598159999,714537.77654090,813,5.98316000,310112.18723430
2024-02-22 18:36:00,51804.42000000,51804.42000000,51760.98000000,51781.10000000,24.07174000,1708598219999,1246325.42755410,1494,11.69042000,605241.28213990
2024-02-22 18:37:00,51781.10000000,51795.54000000,51766.26000000,51795.54000000,21.99535000,1708598279999,1138808.67413880,713,18.08268000,936208.29856310
2024-02-22 18:38:00,51795.53000000,51797.98000000,51764.62000000,51764.62000000,15.82802000,1708598339999,819720.31296360,610,8.36588000,433275.98844140
2024-02-22 18:39:00,51764.62000000,51785.64000000,51764.62000000,51769.16000000,29.36776000,1708598399999,1520550.17750510,928,12.85045000,665262.19845150
2024-02-22 18:40:00,51769.16000000,51769.17000000,51752.30000000,51760.81000000,15.70509000,1708598459999,812888.51834410,881,6.75124000,349428.97798300
2024-02-22 18:41:00,51760.80000000,51760.81000000,51737.39000000,51737.40000000,10.38863000,1708598519999,537639.91051860,828,3.03293000,156961.64982670
2024-02-22 18:42:00,51737.39000000,51755.58000000,51735.32000000,51755.58000000,15.27770000,1708598579999,790462.90044680,769,5.81484000,300866.33485260
2024-02-22 18:43:00,51755.57000000,51755.58000000,51741.10000000,51744.01000000,8.91745000,1708598639999,461481.95007900,673,1.61130000,83380.27927460
2024-02-22 18:44:00,51744.00000000,51744.01000000,51732.12000000,51732.31000000,13.57495000,1708598699999,702330.07855360,606,3.84176000,198756.79034890
2024-02-22 18:45:00,51732.31000000,51735.79000000,51709.95000000,51709.96000000,45.00547000,1708598759999,2328036.59721530,1203,6.45606000,333933.41726040
2024-02-22 18:46:00,51709.95000000,51709.96000000,51655.48000000,51659.61000000,30.66605000,1708598819999,1584720.69073390,2094,11.64366000,601663.66017070
2024-02-22 18:47:00,51659.62000000,51659.62000000,51588.36000000,51595.98000000,57.36186000,1708598879999,2961161.40498740,3162,18.18326000,938682.09080540
2024-02-22 18:48:00,51595.99000000,51671.10000000,51595.98000000,51671.10000000,45.78146000,1708598939999,2364104.02880500,1100,25.60783000,1322353.40464110
2024-02-22 18:49:00,51671.09000000,51683.90000000,51664.69000000,51683.86000000,13.73486000,1708598999999,709772.47813570,981,8.04113000,415536.57362210
2024-02-22 18:50:00,51683.86000000,51699.13000000,51682.00000000,51684.28000000,22.04742000,1708599059999,1139633.53589570,807,12.76158000,659623.08833990
2024-02-22 18:51:00,51684.27000000,51703.75000000,51671.10000000,51701.99000000,18.36386000,1708599119999,949132.21149100,857,14.30028000,739128.07350760
2024-02-22 18:52:00,51702.00000000,51704.44000000,51656.50000000,51670.25000000,39.22769000,1708599179999,2026970.95631400,913,17.13640000,885379.39754590
2024-02-22 18:53:00,51670.26000000,51681.15000000,51655.00000000,51677.99000000,16.00163000,1708599239999,826784.38466240,766,3.65897000,189048.48398070
2024-02-22 18:54:00,51677.99000000,51689.35000000,51677.98000000,51689.34000000,7.00794000,1708599299999,362194.03790550,531,5.33854000,275918.24368120
2024-02-22 18:55:00,51689.35000000,51689.35000000,51679.99000000,51686.87000000,7.83976000,1708599359999,405190.62328760,487,3.92233000,202717.82502360
2024-02-22 18:56:00,51686.87000000,51688.99000000,51666.32000000,51675.70000000,18.06142000,1708599419999,933359.66572050,692,11.01336000,569093.72044170
2024-02-22 18:57:00,51675.70000000,51684.39000000,51633.87000000,51682.69000000,25.04202000,1708599479999,1293567.78348930,1032,8.58328000,443415.46393010
2024-02-22 18:58:00,51682.69000000,51682.70000000,51657.70000000,51675.87000000,14.67968000,1708599539999,758439.06182700,586,8.59627000,444106.64526310
2024-02-22 18:59:00,51676.11000000,51704.44000000,51676.11000000,51694.07000000,37.66589000,1708599599999,1946909.54654030,833,26.96969000,1394035.63458450
2024-02-22 19:00:00,51694.08000000,51699.99000000,51682.05000000,51688.01000000,14.88266000,1708599659999,769279.70204460,666,9.75897000,504427.25894610
2024-02-22 19:01:00,51688.01000000,51698.33000000,51638.19000000,51638.20000000,41.27482000,1708599719999,2132678.91505840,1076,9.82785000,507669.82858640
2024-02-22 19:02:00,51638.20000000,51638.20000000,51605.03000000,51611.10000000,27.40481000,1708599779999,1414777.52370790,865,8.56233000,441999.53954980
2024-02-22 19:03:00,51611.10000000,51614.00000000,51579.19000000,51597.46000000,100.37929000,1708599839999,5179242.92888340,1858,33.90865000,1749213.16554420
2024-02-22 19:04:00,51597.45000000,51605.16000000,51597.45000000,51605.16000000,11.89111000,1708599899999,613626.71865560,821,10.26231000,529573.95431980
2024-02-22 19:05:00,51605.15000000,51642.44000000,51605.15000000,51642.43000000,34.97636000,1708599959999,1805241.98390060,907,32.37159000,1670790.08777940
2024-02-22 19:06:00,51642.43000000,51658.83000000,51626.00000000,51658.82000000,25.88727000,1708600019999,1336891.37002980,869,14.77001000,762796.23445560
2024-02-22 19:07:00,51658.83000000,51663.27000000,51653.01000000,51659.94000000,15.41110000,1708600079999,796120.68161450,749,6.39308000,330258.55468520
2024-02-22 19:08:00,51659.95000000,51663.25000000,51637.36000000,51637.36000000,8.43069000,1708600139999,435493.45238220,707,5.37456000,277639.96757500
2024-02-22 19:09:00,51637.37000000,51673.98000000,51637.36000000,51673.97000000,26.42193000,1708600199999,1364941.59595920,1405,17.17067000,887002.92468510
2024-02-22 19:10:00,51673.98000000,51687.80000000,51631.10000000,51631.11000000,33.43356000,1708600259999,1727109.37601560,1284,11.36916000,587263.72962710
2024-02-22 19:11:00,51631.10000000,51657.19000000,51626.01000000,51657.16000000,38.33016000,1708600319999,1979418.98162660,802,29.68196000,1532700.71050760
2024-02-22 19:12:00,51657.16000000,51665.64000000,51618.00000000,51646.90000000,43.47904000,1708600379999,2245492.61032090,2688,12.61270000,651386.89310340
2024-02-22 19:13:00,51646.90000000,51646.90000000,51616.92000000,51633.99000000,16.96574000,1708600439999,875933.14742260,730,9.09379000,469494.08302450
2024-02-22 19:14:00,51634.00000000,51656.74000000,51633.99000000,51656.74000000,9.91788000,1708600499999,512216.80050020,977,8.54825000,441480.06604100
2024-02-22 19:15:00,51656.74000000,51656.74000000,51626.95000000,51632.00000000,12.97371000,1708600559999,669978.47726430,857,6.08524000,314229.11267460
2024-02-22 19:16:00,51631.99000000,51632.00000000,51627.60000000,51627.61000000,12.50132000,1708600619999,645429.70947770,606,9.80432000,506182.51285370
2024-02-22 19:17:00,51627.61000000,51627.61000000,51604.00000000,51604.02000000,13.60165000,1708600679999,702078.33699680,670,4.55034000,234870.76144710
2024-02-22 19:18:00,51604.02000000,51604.02000000,51572.01000000,51577.40000000,37.29724000,1708600739999,1924039.31390950,1172,12.62146000,651081.75250270
2024-02-22 19:19:00,51577.41000000,51591.10000000,51577.40000000,51586.48000000,28.83444000,1708600799999,1487465.55411080,714,10.57006000,545246.33058040
